"UnitCode","Year","Visits"
"ARHO",2001,1288420
"ARHO",2002,1249592
"ARHO",2003,1136062
"ARHO",2004,1478494
"ARHO",2005,1495656
"ARHO",2006,1528568
"ARHO",2007,1400070
"ARHO",2008,1555544
"ARHO",2009,1811318
"ARHO",2010,1882728
"ARHO",2011,1730444
"ARHO",2012,1688318
"ARHO",2013,1759592
"ARHO",2014,2014914
"ARHO",2015,1596152
"ARHO",2016,3172498
"ARHO",2017,2178180
"ARHO",2018,148500
"ARHO",2019,0
"ARHO",2020,0
"ARHO",2021,14342
"ARHO",2022,920058
"ARHO",2023,1257676
"ARHO",2024,1342922
"ARPO",1979,307536
"ARPO",1980,314992
"ARPO",1981,267692
"ARPO",1982,291746
"ARPO",1983,277216
"ARPO",1984,291486
"ARPO",1985,275566
"ARPO",1986,301734
"ARPO",1987,303016
"ARPO",1988,343138
"ARPO",1989,345410
"ARPO",1990,392446
"ARPO",1991,407340
"ARPO",1992,263104
"ARPO",1993,260988
"ARPO",1994,234572
"ARPO",1995,201812
"ARPO",1996,239640
"ARPO",1997,252230
"ARPO",1998,259332
"ARPO",1999,245442
"ARPO",2000,219560
"ARPO",2001,217516
"ARPO",2002,240622
"ARPO",2003,189524
"ARPO",2004,190906
"ARPO",2005,188850
"ARPO",2006,183322
"ARPO",2007,186144
"ARPO",2008,215684
"ARPO",2009,160800
"ARPO",2010,173560
"ARPO",2011,185630
"ARPO",2012,198588
"ARPO",2013,182106
"ARPO",2014,154300
"ARPO",2015,193510
"ARPO",2016,172020
"ARPO",2017,181078
"ARPO",2018,150630
"ARPO",2019,142604
"ARPO",2020,148264
"ARPO",2021,130216
"ARPO",2022,113948
"ARPO",2023,125162
"ARPO",2024,131012
"ASIS",1979,28543032
"ASIS",1980,32217273
"ASIS",1981,34107034
"ASIS",1982,33860463
"ASIS",1983,37117386
"ASIS",1984,34809853
"ASIS",1985,39337198
"ASIS",1986,41599111
"ASIS",1987,44893936
"ASIS",1988,44848627
"ASIS",1989,41029436
"ASIS",1990,40331499
"ASIS",1991,41304461
"ASIS",1992,37033195
"ASIS",1993,39856460
"ASIS",1994,37739963
"ASIS",1995,37300474
"ASIS",1996,36825850
"ASIS",1997,36765470
"ASIS",1998,36095328
"ASIS",1999,37013827
"ASIS",2000,35860573
"ASIS",2001,37754737
